state_code	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02	2023-09-09	2023-09-16	2023-09-23	2023-09-30	2023-10-07	2023-10-14	2023-10-21	2023-10-28	2023-11-04	2023-11-11	2023-11-18	2023-11-25	2023-12-02	2023-12-09
MG	256	279	273	184	195	168	195	219	261	290	275	290	332	357	333	438	457	492	479	336	290	342	295	236	238	180	186	177	164	151	180	116	112	122	124	152	143	174	209	216	218	229	208	171	240	271	260	193	189	186	167	277	429	519	621	652	874	997	925	1358	1990	2271	2615	3235	4131	3567	4869	4087	3736	3804	3858	3006	1960	1598	1214	1099	807	512	348	428	384	365	354	339	289	284	321	245	357	362	368	406	314	386	385	271	345	258	234	122	16
MS	162	131	128	125	121	119	128	140	218	262	352	439	555	590	750	912	1007	1375	1125	777	711	716	624	465	438	398	322	314	283	269	252	176	155	136	121	121	108	109	121	109	108	139	144	81	103	99	48	9	3	0	4	81	304	300	304	354	422	488	549	519	642	740	723	796	1050	953	1125	950	825	894	779	649	500	313	285	123	158	183	173	164	131	109	137	116	101	98	87	90	106	101	73	97	84	116	61	54	24	49	9	10	0
MT	27	20	24	16	41	31	25	31	52	59	55	60	39	42	46	40	42	47	58	42	26	24	20	6	9	14	10	20	14	13	11	9	9	5	5	15	6	5	4	8	8	13	5	4	1	0	2	0	2	0	0	2	8	18	16	10	23	46	42	40	52	57	85	54	79	62	80	78	91	110	99	79	42	22	29	23	33	17	22	20	11	13	8	8	12	11	6	11	8	8	7	7	3	5	3	3	8	4	1	1	0
PA	5	12	6	9	15	9	12	13	22	16	26	16	24	21	15	26	24	31	42	25	26	24	21	20	20	13	11	5	10	12	10	11	15	8	13	13	8	9	8	10	11	13	3	14	5	14	11	6	1	1	4	9	12	19	30	34	33	19	19	23	36	27	30	38	41	19	23	26	22	36	24	28	28	19	24	18	18	13	8	9	19	14	23	10	26	17	15	13	13	8	8	9	4	17	14	11	9	11	1	0	0
PB	41	49	64	53	49	53	69	97	123	148	182	127	189	171	216	312	311	436	461	575	482	582	669	623	613	633	511	512	436	419	399	358	332	187	245	207	157	144	136	109	130	77	88	90	97	81	42	32	42	12	4	19	71	58	71	86	75	86	68	81	87	101	116	181	180	167	210	175	150	135	125	122	122	106	95	77	101	86	95	99	69	71	68	76	61	63	61	65	71	71	87	80	75	111	58	70	66	63	72	67	27
PE	31	24	37	35	25	30	27	37	43	34	57	48	66	78	69	77	93	101	115	104	104	109	151	126	90	126	114	114	111	122	157	150	116	106	104	76	77	59	56	55	59	58	52	59	25	26	10	25	19	8	7	33	64	48	71	54	70	45	71	100	105	185	244	204	174	135	140	131	115	102	94	93	60	65	54	75	49	58	83	87	87	79	134	110	112	105	85	79	88	79	82	63	88	110	58	48	49	25	19	13	1
PI	0	3	1	1	1	1	3	9	8	18	39	49	55	83	173	315	348	322	385	374	368	426	278	265	266	107	71	78	60	23	35	30	30	40	17	12	7	5	7	5	6	6	2	2	3	2	1	0	0	1	1	3	8	2	8	15	9	14	4	14	20	19	31	45	52	66	75	52	85	142	154	173	119	89	68	72	71	61	39	43	30	34	27	23	7	11	8	8	7	4	4	3	4	6	3	3	2	2	2	1	0
PR	96	104	91	47	81	86	93	120	224	362	431	692	805	863	1457	1274	1169	1426	893	720	404	536	471	372	301	220	196	217	190	154	137	142	100	94	77	65	51	62	81	67	78	85	81	67	94	105	73	66	59	51	41	48	58	62	62	81	86	123	124	144	208	262	323	487	540	619	850	922	767	793	768	644	439	318	277	220	168	133	158	76	106	93	106	103	85	111	76	72	98	129	125	98	99	131	113	101	157	124	127	93	17
RJ	21	14	22	19	31	35	47	62	66	116	126	177	153	222	201	234	342	461	505	406	400	338	255	153	209	189	155	144	194	148	145	106	110	99	94	101	120	102	95	102	123	160	139	131	171	129	94	86	98	123	117	163	223	208	239	300	364	508	365	500	835	928	1106	1361	1559	1394	1773	1489	1564	1897	1786	1716	1471	1318	1232	1341	1229	991	827	765	640	552	599	524	522	499	449	440	549	514	442	463	371	457	437	457	668	542	839	813	358
RN	20	21	23	23	28	44	56	73	112	175	203	260	369	460	710	1018	1217	1268	1178	1339	1204	1386	1228	1070	912	750	745	707	629	529	491	546	421	296	219	193	143	118	97	119	100	94	99	109	75	95	51	35	33	16	1	7	65	68	56	75	71	62	51	58	69	94	81	123	170	211	234	277	168	204	111	125	121	84	74	86	92	58	63	85	82	71	79	57	48	54	59	59	51	65	64	69	62	51	53	75	60	53	36	21	13
RO	6	11	15	15	13	24	42	48	97	48	56	76	49	66	72	62	44	49	46	48	55	68	79	87	97	96	92	77	52	36	43	49	37	27	22	36	31	6	10	34	54	60	51	17	14	63	9	3	0	0	0	8	29	35	25	14	24	20	15	22	18	24	23	20	17	8	16	17	15	9	8	5	4	4	8	2	3	6	3	4	1	0	2	25	8	8	6	7	5	1	0	1	2	0	1	3	2	1	0	0	0
RR	3	3	5	7	5	3	3	2	3	4	5	5	9	6	5	10	12	16	32	34	38	47	44	38	42	25	40	28	19	12	15	31	38	13	25	13	22	15	8	12	18	23	23	23	20	23	20	9	4	0	3	9	21	23	20	23	17	18	7	16	17	20	13	21	21	16	13	19	18	16	21	31	22	22	29	20	24	16	17	16	18	10	22	17	7	16	10	7	10	12	20	9	9	14	12	12	13	8	7	4	1
RS	5	3	6	2	3	3	14	26	61	227	350	637	635	722	984	1088	683	436	282	388	195	143	95	32	54	80	66	53	48	33	27	18	18	10	13	16	9	9	9	10	13	6	10	8	13	19	14	18	16	4	0	8	30	24	24	13	18	18	21	38	85	137	204	359	457	549	828	877	786	857	582	562	484	394	212	192	89	83	86	59	69	59	47	65	56	47	33	26	34	29	18	20	15	15	17	18	20	20	19	8	2
SC	44	32	22	22	16	32	21	50	50	112	186	223	329	463	522	566	544	656	632	531	442	326	214	196	156	173	158	114	83	67	56	61	69	74	47	63	56	51	55	43	49	81	77	69	88	92	74	51	86	49	62	75	68	78	73	92	108	182	213	300	595	1188	1964	2630	3598	3965	4486	4331	4266	4088	3727	2945	2188	1773	1290	913	755	565	497	321	229	209	189	149	203	170	127	154	175	178	134	164	148	162	164	159	191	150	182	234	109
SE	2	12	7	2	9	7	19	7	18	10	14	19	27	52	51	82	84	104	188	186	236	294	300	283	246	230	320	275	242	258	285	259	254	174	160	158	136	119	122	140	114	89	104	82	95	57	54	43	31	6	10	30	100	82	66	72	89	65	46	57	60	80	77	83	101	95	129	71	57	69	93	69	54	118	121	128	84	107	121	88	129	101	102	118	110	110	71	68	74	68	70	57	71	73	59	62	58	72	61	36	1
SP	327	253	366	325	289	310	322	342	504	627	738	946	1257	1608	1935	2587	3177	3538	3522	2433	2336	1881	1398	1070	1026	834	715	639	566	473	453	343	326	317	257	307	259	332	308	401	482	473	449	364	317	353	284	321	278	101	38	180	625	702	917	994	1142	1282	1279	1317	1672	1903	2260	2691	2720	2514	2980	2549	2547	3116	2827	2666	2168	1610	1244	1141	1043	879	721	618	524	528	579	602	589	584	588	570	644	780	701	835	685	700	740	614	730	665	727	733	232
TO	1248	1030	946	901	892	798	695	542	545	592	613	595	688	756	754	882	857	866	925	773	703	782	608	479	451	371	306	271	195	196	173	190	155	111	92	64	86	69	94	73	79	64	89	69	110	132	169	140	142	94	33	62	171	178	193	185	206	232	233	268	310	337	378	576	627	517	526	394	331	357	288	300	276	252	204	207	173	152	124	126	126	92	92	91	123	79	74	70	64	47	30	37	80	85	47	63	69	83	81	71	50
